,Date,Time,Aspect 0 of Phase B  State,Aspect 1 of Phase B  State,Aspect 2 of Phase B  State,Result,Phase
7022,03-Jun-17,10:31:52,0,1,0,Amber,B
7023,03-Jun-17,10:31:53,0,1,0,Amber,B
7024,03-Jun-17,10:31:53,0,1,0,Amber,B
7025,03-Jun-17,10:31:53,0,1,0,Amber,B
7026,03-Jun-17,10:31:53,0,1,0,Amber,B
7312,03-Jun-17,10:32:51,0,1,0,Amber,B
7313,03-Jun-17,10:32:51,0,1,0,Amber,B
7314,03-Jun-17,10:32:51,0,1,0,Amber,B
7315,03-Jun-17,10:32:51,0,1,0,Amber,B
7316,03-Jun-17,10:32:51,0,1,0,Amber,B
7317,03-Jun-17,10:32:51,0,1,0,Amber,B
7318,03-Jun-17,10:32:51,0,1,0,Amber,B
7319,03-Jun-17,10:32:52,0,1,0,Amber,B
7320,03-Jun-17,10:32:52,0,1,0,Amber,B
7321,03-Jun-17,10:32:52,0,1,0,Amber,B
7322,03-Jun-17,10:32:52,0,1,0,Amber,B
7323,03-Jun-17,10:32:53,0,1,0,Amber,B
7324,03-Jun-17,10:32:53,0,1,0,Amber,B
7325,03-Jun-17,10:32:53,0,1,0,Amber,B
7326,03-Jun-17,10:32:53,0,1,0,Amber,B
7612,03-Jun-17,10:33:50,0,1,0,Amber,B
7613,03-Jun-17,10:33:50,0,1,0,Amber,B
7614,03-Jun-17,10:33:51,0,1,0,Amber,B
7615,03-Jun-17,10:33:51,0,1,0,Amber,B
7616,03-Jun-17,10:33:51,0,1,0,Amber,B
7617,03-Jun-17,10:33:51,0,1,0,Amber,B
7618,03-Jun-17,10:33:52,0,1,0,Amber,B
7619,03-Jun-17,10:33:52,0,1,0,Amber,B
7620,03-Jun-17,10:33:52,0,1,0,Amber,B
7621,03-Jun-17,10:33:52,0,1,0,Amber,B
7622,03-Jun-17,10:33:52,0,1,0,Amber,B
7623,03-Jun-17,10:33:53,0,1,0,Amber,B
7624,03-Jun-17,10:33:53,0,1,0,Amber,B
7625,03-Jun-17,10:33:53,0,1,0,Amber,B
7626,03-Jun-17,10:33:53,0,1,0,Amber,B
7912,03-Jun-17,10:34:50,0,1,0,Amber,B
7913,03-Jun-17,10:34:51,0,1,0,Amber,B
7914,03-Jun-17,10:34:51,0,1,0,Amber,B
7915,03-Jun-17,10:34:51,0,1,0,Amber,B
7916,03-Jun-17,10:34:51,0,1,0,Amber,B
7917,03-Jun-17,10:34:51,0,1,0,Amber,B
7918,03-Jun-17,10:34:52,0,1,0,Amber,B
7919,03-Jun-17,10:34:52,0,1,0,Amber,B
7920,03-Jun-17,10:34:52,0,1,0,Amber,B
7921,03-Jun-17,10:34:52,0,1,0,Amber,B
7922,03-Jun-17,10:34:53,0,1,0,Amber,B
7923,03-Jun-17,10:34:53,0,1,0,Amber,B
7924,03-Jun-17,10:34:53,0,1,0,Amber,B
7925,03-Jun-17,10:34:53,0,1,0,Amber,B
7926,03-Jun-17,10:34:53,0,1,0,Amber,B
8212,03-Jun-17,10:35:51,0,1,0,Amber,B
8213,03-Jun-17,10:35:51,0,1,0,Amber,B
8214,03-Jun-17,10:35:51,0,1,0,Amber,B
8215,03-Jun-17,10:35:51,0,1,0,Amber,B
8216,03-Jun-17,10:35:51,0,1,0,Amber,B
8217,03-Jun-17,10:35:51,0,1,0,Amber,B
8218,03-Jun-17,10:35:51,0,1,0,Amber,B
8219,03-Jun-17,10:35:52,0,1,0,Amber,B
8220,03-Jun-17,10:35:52,0,1,0,Amber,B
8221,03-Jun-17,10:35:52,0,1,0,Amber,B
8222,03-Jun-17,10:35:52,0,1,0,Amber,B
8223,03-Jun-17,10:35:53,0,1,0,Amber,B
8224,03-Jun-17,10:35:53,0,1,0,Amber,B
8225,03-Jun-17,10:35:53,0,1,0,Amber,B
8226,03-Jun-17,10:35:53,0,1,0,Amber,B
8512,03-Jun-17,10:36:50,0,1,0,Amber,B
8513,03-Jun-17,10:36:51,0,1,0,Amber,B
8514,03-Jun-17,10:36:51,0,1,0,Amber,B
8515,03-Jun-17,10:36:51,0,1,0,Amber,B
8516,03-Jun-17,10:36:51,0,1,0,Amber,B
8517,03-Jun-17,10:36:51,0,1,0,Amber,B
8518,03-Jun-17,10:36:52,0,1,0,Amber,B
8519,03-Jun-17,10:36:52,0,1,0,Amber,B
8520,03-Jun-17,10:36:52,0,1,0,Amber,B
8521,03-Jun-17,10:36:52,0,1,0,Amber,B
8522,03-Jun-17,10:36:53,0,1,0,Amber,B
8523,03-Jun-17,10:36:53,0,1,0,Amber,B
8524,03-Jun-17,10:36:53,0,1,0,Amber,B
8525,03-Jun-17,10:36:53,0,1,0,Amber,B
8526,03-Jun-17,10:36:53,0,1,0,Amber,B
8812,03-Jun-17,10:37:50,0,1,0,Amber,B
8813,03-Jun-17,10:37:50,0,1,0,Amber,B
8814,03-Jun-17,10:37:51,0,1,0,Amber,B
8815,03-Jun-17,10:37:51,0,1,0,Amber,B
8816,03-Jun-17,10:37:51,0,1,0,Amber,B
8817,03-Jun-17,10:37:51,0,1,0,Amber,B
