,Date,Time,Aspect 0 of Phase D  State,Aspect 1 of Phase D  State,Aspect 2 of Phase D  State,Result,Phase
8590,03-Jun-17,10:37:06,0,1,0,Amber,D
8591,03-Jun-17,10:37:06,0,1,0,Amber,D
8592,03-Jun-17,10:37:07,0,1,0,Amber,D
8593,03-Jun-17,10:37:07,0,1,0,Amber,D
8594,03-Jun-17,10:37:07,0,1,0,Amber,D
8595,03-Jun-17,10:37:07,0,1,0,Amber,D
8596,03-Jun-17,10:37:07,0,1,0,Amber,D
8882,03-Jun-17,10:38:04,0,1,0,Amber,D
8883,03-Jun-17,10:38:05,0,1,0,Amber,D
8884,03-Jun-17,10:38:05,0,1,0,Amber,D
8885,03-Jun-17,10:38:05,0,1,0,Amber,D
8886,03-Jun-17,10:38:05,0,1,0,Amber,D
8887,03-Jun-17,10:38:05,0,1,0,Amber,D
8888,03-Jun-17,10:38:06,0,1,0,Amber,D
8889,03-Jun-17,10:38:06,0,1,0,Amber,D
8890,03-Jun-17,10:38:06,0,1,0,Amber,D
8891,03-Jun-17,10:38:06,0,1,0,Amber,D
8892,03-Jun-17,10:38:07,0,1,0,Amber,D
8893,03-Jun-17,10:38:07,0,1,0,Amber,D
8894,03-Jun-17,10:38:07,0,1,0,Amber,D
8895,03-Jun-17,10:38:07,0,1,0,Amber,D
8896,03-Jun-17,10:38:07,0,1,0,Amber,D
9182,03-Jun-17,10:39:05,0,1,0,Amber,D
9183,03-Jun-17,10:39:05,0,1,0,Amber,D
9184,03-Jun-17,10:39:05,0,1,0,Amber,D
9185,03-Jun-17,10:39:05,0,1,0,Amber,D
9186,03-Jun-17,10:39:05,0,1,0,Amber,D
9187,03-Jun-17,10:39:05,0,1,0,Amber,D
9188,03-Jun-17,10:39:05,0,1,0,Amber,D
9189,03-Jun-17,10:39:06,0,1,0,Amber,D
9190,03-Jun-17,10:39:06,0,1,0,Amber,D
9191,03-Jun-17,10:39:06,0,1,0,Amber,D
9192,03-Jun-17,10:39:06,0,1,0,Amber,D
9193,03-Jun-17,10:39:07,0,1,0,Amber,D
9194,03-Jun-17,10:39:07,0,1,0,Amber,D
9195,03-Jun-17,10:39:07,0,1,0,Amber,D
9196,03-Jun-17,10:39:07,0,1,0,Amber,D
