,Date,Time,Aspect 0 of Phase C  State,Aspect 1 of Phase C  State,Aspect 2 of Phase C  State,Result,Phase
9734,24-Jun-17,17:22:00,1,1,0,RedAmber,C
9735,24-Jun-17,17:22:00,1,1,0,RedAmber,C
9736,24-Jun-17,17:22:00,1,1,0,RedAmber,C
10027,24-Jun-17,17:22:58,1,1,0,RedAmber,C
10028,24-Jun-17,17:22:58,1,1,0,RedAmber,C
10029,24-Jun-17,17:22:59,1,1,0,RedAmber,C
10030,24-Jun-17,17:22:59,1,1,0,RedAmber,C
10031,24-Jun-17,17:22:59,1,1,0,RedAmber,C
10032,24-Jun-17,17:22:59,1,1,0,RedAmber,C
10033,24-Jun-17,17:22:59,1,1,0,RedAmber,C
10034,24-Jun-17,17:23:00,1,1,0,RedAmber,C
10035,24-Jun-17,17:23:00,1,1,0,RedAmber,C
10036,24-Jun-17,17:23:00,1,1,0,RedAmber,C
10327,24-Jun-17,17:23:58,1,1,0,RedAmber,C
10328,24-Jun-17,17:23:59,1,1,0,RedAmber,C
10329,24-Jun-17,17:23:59,1,1,0,RedAmber,C
10330,24-Jun-17,17:23:59,1,1,0,RedAmber,C
10331,24-Jun-17,17:23:59,1,1,0,RedAmber,C
10332,24-Jun-17,17:24:00,1,1,0,RedAmber,C
10333,24-Jun-17,17:24:00,1,1,0,RedAmber,C
10334,24-Jun-17,17:24:00,1,1,0,RedAmber,C
10335,24-Jun-17,17:24:00,1,1,0,RedAmber,C
10336,24-Jun-17,17:24:00,1,1,0,RedAmber,C
10627,24-Jun-17,17:24:58,1,1,0,RedAmber,C
10628,24-Jun-17,17:24:59,1,1,0,RedAmber,C
10629,24-Jun-17,17:24:59,1,1,0,RedAmber,C
10630,24-Jun-17,17:24:59,1,1,0,RedAmber,C
10631,24-Jun-17,17:24:59,1,1,0,RedAmber,C
10632,24-Jun-17,17:24:59,1,1,0,RedAmber,C
10633,24-Jun-17,17:25:00,1,1,0,RedAmber,C
10634,24-Jun-17,17:25:00,1,1,0,RedAmber,C
10635,24-Jun-17,17:25:00,1,1,0,RedAmber,C
10636,24-Jun-17,17:25:00,1,1,0,RedAmber,C
10927,24-Jun-17,17:25:58,1,1,0,RedAmber,C
10928,24-Jun-17,17:25:59,1,1,0,RedAmber,C
10929,24-Jun-17,17:25:59,1,1,0,RedAmber,C
10930,24-Jun-17,17:25:59,1,1,0,RedAmber,C
10931,24-Jun-17,17:25:59,1,1,0,RedAmber,C
10932,24-Jun-17,17:25:59,1,1,0,RedAmber,C
10933,24-Jun-17,17:26:00,1,1,0,RedAmber,C
10934,24-Jun-17,17:26:00,1,1,0,RedAmber,C
10935,24-Jun-17,17:26:00,1,1,0,RedAmber,C
10936,24-Jun-17,17:26:00,1,1,0,RedAmber,C
11227,24-Jun-17,17:26:58,1,1,0,RedAmber,C
11228,24-Jun-17,17:26:59,1,1,0,RedAmber,C
11229,24-Jun-17,17:26:59,1,1,0,RedAmber,C
11230,24-Jun-17,17:26:59,1,1,0,RedAmber,C
11231,24-Jun-17,17:26:59,1,1,0,RedAmber,C
11232,24-Jun-17,17:26:59,1,1,0,RedAmber,C
11233,24-Jun-17,17:27:00,1,1,0,RedAmber,C
11234,24-Jun-17,17:27:00,1,1,0,RedAmber,C
11235,24-Jun-17,17:27:00,1,1,0,RedAmber,C
11236,24-Jun-17,17:27:00,1,1,0,RedAmber,C
11527,24-Jun-17,17:27:58,1,1,0,RedAmber,C
11528,24-Jun-17,17:27:58,1,1,0,RedAmber,C
11529,24-Jun-17,17:27:59,1,1,0,RedAmber,C
11530,24-Jun-17,17:27:59,1,1,0,RedAmber,C
11531,24-Jun-17,17:27:59,1,1,0,RedAmber,C
11532,24-Jun-17,17:27:59,1,1,0,RedAmber,C
11533,24-Jun-17,17:27:59,1,1,0,RedAmber,C
11534,24-Jun-17,17:28:01,1,1,0,RedAmber,C
11535,24-Jun-17,17:28:01,1,1,0,RedAmber,C
11536,24-Jun-17,17:28:01,1,1,0,RedAmber,C
11827,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11828,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11829,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11830,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11831,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11832,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11833,24-Jun-17,17:53:42,1,1,0,RedAmber,C
11834,24-Jun-17,17:53:42,1,1,0,RedAmber,C
